"COUNTRY","Country","ISC11A","ISCED-A 2011","SEX","Gender","AGE","Age","PIAAC_CATEGORY","Category","INDICATOR","Indicator","MEASURE","Measure","YEAR","Reference year","Value","Flag Codes","Flags"
"AUS","Australia","L0T2","Below upper secondary education","T","Total","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",25,,
"AUS","Australia","L0T2","Below upper secondary education","F","Women","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",27,,
"AUS","Australia","L0T2","Below upper secondary education","M","Men","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",24,,
"AUS","Australia","L0T2","Below upper secondary education","T","Total","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",18,,
"AUS","Australia","L0T2","Below upper secondary education","F","Women","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",17,,
"AUS","Australia","L0T2","Below upper secondary education","M","Men","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",19,,
"AUS","Australia","L0T2","Below upper secondary education","T","Total","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",6,,
"AUS","Australia","L0T2","Below upper secondary education","F","Women","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",6,,
"AUS","Australia","L0T2","Below upper secondary education","M","Men","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",6,,
"AUS","Australia","L0T2","Below upper secondary education","T","Total","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",17,,
"AUS","Australia","L0T2","Below upper secondary education","F","Women","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",17,,
"AUS","Australia","L0T2","Below upper secondary education","M","Men","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",17,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",46,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",42,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",49,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",45,,
